BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster_result
4700.106602,1.0,2570.0,492.46,2077.54,124.563782,0.75,0.166667,0.666667,0.166667,2,40,4500.0,3259.958288,5620.295192,0.0,12,Cluster 3.0
1114.506863,1.0,602.07,0.0,602.07,0.0,1.0,0.0,0.833333,0.0,0,15,1800.0,676.487532,248.438014,0.0,12,Cluster 3.0
31.050921,1.0,446.05,0.0,446.05,0.0,1.0,0.0,0.909091,0.0,0,11,1000.0,387.745745,158.394845,1.0,11,Cluster 3.0
2075.637866,0.454545,0.0,0.0,0.0,4573.876388,0.0,0.0,0.0,0.083333,1,0,7500.0,1146.220278,1448.097316,0.0,12,Cluster 2.0
8465.740449,1.0,1345.81,226.0,1119.81,3429.450339,0.916667,0.333333,0.666667,0.666667,25,33,9500.0,2069.156797,2410.701385,0.0,12,Cluster 4.0
1894.11023,1.0,678.0,678.0,0.0,0.0,1.0,1.0,0.0,0.0,0,12,2000.0,992.569418,1111.413896,0.0,12,Cluster 3.0
390.077505,0.636364,1156.0,1156.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,10500.0,1704.470909,247.289712,0.0,12,Cluster 2.0
3676.070324,1.0,2255.1,1216.81,1038.29,106.449005,1.0,0.666667,1.0,0.083333,1,27,3500.0,2055.087209,3606.228152,0.0,12,Cluster 3.0
119.368715,0.909091,339.11,611.65,12.41,87.547315,0.416667,0.5,0.083333,0.083333,2,5,6500.0,107.203529,187.367893,0.0,12,Cluster 2.0
153.643158,1.0,0.0,0.0,0.0,254.910338,0.0,0.0,0.0,0.083333,1,0,300.0,347.227774,148.87441,0.083333,12,Cluster 2.0
62.996845,1.0,779.7,290.0,489.7,0.0,1.0,0.166667,0.833333,0.0,0,14,9000.0,775.601851,155.518201,0.5,12,Cluster 3.0
4438.521324,1.0,591.84,109.16,482.68,564.365429,0.636364,0.181818,0.454545,0.272727,3,11,17000.0,5552.601399,1094.486286,0.0,11,Cluster 4.0
89.579737,0.272727,1174.59,1174.59,0.0,0.0,0.181818,0.181818,0.0,0.0,0,2,12500.0,711.52357,27.094432,0.0,11,Cluster 2.0
1672.969871,1.0,0.0,0.0,0.0,74.812657,0.0,0.0,0.0,0.083333,1,0,2100.0,341.940624,754.672615,0.0,12,Cluster 2.0
1570.682346,1.0,645.32,645.32,0.0,1665.331678,0.166667,0.166667,0.0,0.416667,9,2,1800.0,2591.391006,808.217224,0.0,12,Cluster 2.0
641.02208,1.0,0.0,0.0,0.0,180.321494,0.0,0.0,0.0,0.25,4,0,1000.0,345.161002,277.7637,0.0,12,Cluster 2.0
691.466157,1.0,549.96,0.0,549.96,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,316.191025,165.251013,0.0,12,Cluster 3.0
62.104602,0.636364,377.62,0.0,377.62,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,548.900318,99.168927,0.181818,12,Cluster 2.0
1830.571451,1.0,737.67,737.67,0.0,1781.484344,0.25,0.25,0.0,0.416667,13,5,2000.0,2338.783266,838.165733,0.0,12,Cluster 4.0
1157.005745,1.0,0.0,0.0,0.0,476.711979,0.0,0.0,0.0,0.583333,11,0,1200.0,855.075968,794.131569,0.0,12,Cluster 2.0
794.661653,1.0,329.96,329.96,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2000.0,703.606,166.000398,0.0,12,Cluster 2.0
9.75539,0.909091,219.37,219.37,0.0,0.0,1.0,1.0,0.0,0.0,0,12,6000.0,216.850592,76.604414,0.25,12,Cluster 3.0
2076.211673,1.0,1057.0,0.0,1057.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,696.769705,711.321984,0.0,12,Cluster 2.0
